date_time,latitude,longitude,Depth  (km),mag,Location
2023-12-12 02:53:00,8.36,126.93,32,2.8,065  km S 89° E of Hinatuan (Surigao Del Sur)
2023-12-12 02:43:00,8.44,127.0,2,3.6,074  km N 83° E of Hinatuan (Surigao Del Sur)
2023-12-12 02:33:00,13.77,120.28,5,2.1,006  km N 30° E of Looc (Occidental Mindoro)
2023-12-12 02:20:00,7.96,123.48,35,1.8,006  km S 13° W of Ramon Magsaysay (Zamboanga Del Sur)
2023-12-12 02:21:00,8.81,126.58,18,2.6,032  km S 68° E of Cagwait (Surigao Del Sur)
2023-12-12 02:09:00,8.49,126.59,23,3.4,031  km N 64° E of Hinatuan (Surigao Del Sur)
2023-12-12 02:07:00,11.38,126.25,16,3.0,067  km N 63° E of Mercedes (Eastern Samar)
2023-12-12 02:02:00,8.32,126.85,18,2.2,057  km S 84° E of Hinatuan (Surigao Del Sur)
2023-12-12 01:52:00,8.24,126.88,10,1.6,061  km S 76° E of Hinatuan (Surigao Del Sur)
2023-12-12 01:42:00,8.29,127.06,15,1.9,076  km N 69° E of Lingig (Surigao Del Sur)
2023-12-12 01:36:00,8.54,126.94,1,2.2,069  km N 74° E of Hinatuan (Surigao Del Sur)
2023-12-12 01:33:00,8.14,127.03,12,2.2,069  km N 81° E of Lingig (Surigao Del Sur)
2023-12-12 01:24:00,8.46,127.15,24,2.4,090  km N 84° E of Hinatuan (Surigao Del Sur)
2023-12-12 01:14:00,8.79,127.03,23,2.5,081  km S 80° E of Cagwait (Surigao Del Sur)
2023-12-12 01:10:00,9.11,127.19,7,3.9,100  km N 78° E of Cagwait (Surigao Del Sur)
2023-12-12 01:01:00,8.7,126.96,5,2.9,078  km N 62° E of Hinatuan (Surigao Del Sur)
2023-12-12 00:48:00,8.54,127.17,4,2.8,094  km N 79° E of Hinatuan (Surigao Del Sur)
2023-12-12 00:46:00,8.67,127.03,4,2.9,083  km N 66° E of Hinatuan (Surigao Del Sur)
2023-12-12 00:25:00,8.37,125.1,33,2.4,013  km N 54° E of Impasug-ong (Bukidnon)
2023-12-12 00:10:00,8.74,127.16,15,2.7,097  km S 78° E of Cagwait (Surigao Del Sur)
2023-12-12 00:02:00,6.91,126.66,148,3.8,028  km S 58° E of Tarragona (Davao Oriental)
2023-12-11 23:57:00,8.16,126.77,19,2.1,042  km N 72° E of Lingig (Surigao Del Sur)
2023-12-11 23:56:00,8.28,126.54,32,1.4,025  km S 66° E of Hinatuan (Surigao Del Sur)
2023-12-11 23:51:00,8.62,127.63,39,2.8,145  km N 79° E of Hinatuan (Surigao Del Sur)
2023-12-11 23:48:00,8.17,126.78,17,3.0,053  km S 66° E of Hinatuan (Surigao Del Sur)
2023-12-11 23:47:00,8.65,126.49,27,1.6,027  km S 52° E of Marihatag (Surigao Del Sur)
2023-12-11 23:46:00,8.8,126.65,20,1.8,039  km S 90° E of Marihatag (Surigao Del Sur)
2023-12-11 23:31:00,8.81,126.49,29,1.9,024  km S 62° E of Cagwait (Surigao Del Sur)
2023-12-11 23:27:00,9.5,126.81,9,2.7,072  km N 70° E of Cortes (Surigao Del Sur)
2023-12-11 23:14:00,8.57,127.79,31,2.9,162  km N 82° E of Hinatuan (Surigao Del Sur)
2023-12-11 23:07:00,17.62,120.75,33,1.9,002  km N 69° E of Lagangilang (Abra)
2023-12-11 23:00:00,7.93,125.79,7,2.5,013  km N 01° W of Laak (Davao De Oro)
2023-12-11 22:57:00,8.65,127.42,17,3.1,123  km N 75° E of Hinatuan (Surigao Del Sur)
2023-12-11 22:41:00,8.35,126.64,21,2.1,033  km S 88° E of Hinatuan (Surigao Del Sur)
2023-12-11 22:38:00,9.61,126.34,19,3.3,028  km S 47° E of General Luna (Surigao Del Norte)
2023-12-11 22:37:00,8.71,127.13,1,2.1,092  km S 84° E of Marihatag (Surigao Del Sur)
2023-12-11 22:27:00,8.31,126.4,25,2.1,009  km S 50° E of Hinatuan (Surigao Del Sur)
2023-12-11 22:08:00,8.63,127.2,1,2.4,100  km N 73° E of Hinatuan (Surigao Del Sur)
2023-12-11 21:59:00,9.21,126.95,1,3.1,079  km N 66° E of Cagwait (Surigao Del Sur)
2023-12-11 21:55:00,16.79,120.99,27,1.4,006  km S 14° W of Hungduan (Ifugao)
2023-12-11 21:52:00,9.06,127.12,11,4.4,091  km N 80° E of Cagwait (Surigao Del Sur)
2023-12-11 21:44:00,8.54,126.69,24,2.4,044  km N 65° E of Hinatuan (Surigao Del Sur)
2023-12-11 21:32:00,8.87,126.24,23,2.0,009  km S 50° W of Cagwait (Surigao Del Sur)
2023-12-11 21:24:00,9.29,126.37,21,2.7,020  km N 85° E of Cortes (Surigao Del Sur)
2023-12-11 21:23:00,12.14,122.38,36,2.3,030  km S 52° W of San Fernando (Romblon)
2023-12-11 21:20:00,3.07,126.03,123,3.5,267  km S 15° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
2023-12-11 21:19:00,8.11,126.95,15,2.8,060  km N 82° E of Lingig (Surigao Del Sur)
2023-12-11 21:15:00,9.28,126.69,17,3.6,055  km N 89° E of Cortes (Surigao Del Sur)
2023-12-11 21:09:00,9.35,126.73,12,4.2,060  km N 83° E of Cortes (Surigao Del Sur)
2023-12-11 21:02:00,8.66,127.18,1,2.8,099  km N 71° E of Hinatuan (Surigao Del Sur)
2023-12-11 20:54:00,6.03,124.6,16,1.5,005  km N 32° W of Kiamba (Sarangani)
2023-12-11 20:47:00,8.59,127.56,33,2.2,137  km N 80° E of Hinatuan (Surigao Del Sur)
2023-12-11 20:35:00,8.56,127.52,33,2.6,132  km N 81° E of Hinatuan (Surigao Del Sur)
2023-12-11 20:29:00,8.71,127.33,13,3.9,115  km N 71° E of Hinatuan (Surigao Del Sur)
2023-12-11 20:22:00,8.55,126.58,28,2.9,033  km N 52° E of Hinatuan (Surigao Del Sur)
2023-12-11 20:06:00,7.11,125.35,5,2.2,024  km N 88° E of Magpet (Cotabato)
2023-12-11 19:57:00,8.62,127.35,22,4.3,115  km N 76° E of Hinatuan (Surigao Del Sur)
2023-12-11 19:56:00,8.6,127.44,21,2.9,124  km N 78° E of Hinatuan (Surigao Del Sur)
2023-12-11 19:53:00,8.56,127.56,34,3.3,136  km N 81° E of Hinatuan (Surigao Del Sur)
2023-12-11 19:44:00,18.87,121.09,33,2.8,029  km N 86° W of Fuga Island (Aparri) (Cagayan)
2023-12-11 19:29:00,8.26,126.57,31,2.3,028  km S 66° E of Hinatuan (Surigao Del Sur)
