date_time,latitude,longitude,Depth  (km),mag,Location,Cluster
2023-12-09 09:31:00,8.42,126.72,4,2.1,043  km N 82° E of Hinatuan (Surigao Del Sur),0
2023-12-09 08:37:00,8.44,126.73,1,3.0,044  km N 80° E of Hinatuan (Surigao Del Sur),0
2023-12-09 08:04:00,8.43,126.58,28,2.9,028  km N 75° E of Hinatuan (Surigao Del Sur),0
2023-12-09 07:38:00,8.41,126.67,1,2.6,037  km N 83° E of Hinatuan (Surigao Del Sur),0
2023-12-09 07:22:00,8.41,126.95,15,1.8,068  km N 86° E of Hinatuan (Surigao Del Sur),0
2023-12-09 06:50:00,8.33,126.78,24,1.9,049  km S 85° E of Hinatuan (Surigao Del Sur),0
2023-12-09 05:44:00,8.45,126.72,1,2.4,043  km N 77° E of Hinatuan (Surigao Del Sur),0
2023-12-09 05:08:00,8.41,126.72,10,2.7,042  km N 84° E of Hinatuan (Surigao Del Sur),0
2023-12-09 04:54:00,8.51,126.89,2,3.1,063  km N 76° E of Hinatuan (Surigao Del Sur),0
2023-12-09 04:09:00,8.52,126.69,12,2.7,043  km N 66° E of Hinatuan (Surigao Del Sur),0
2023-12-09 04:05:00,8.43,126.69,25,2.2,039  km N 79° E of Hinatuan (Surigao Del Sur),0
2023-12-09 03:32:00,8.43,126.76,18,2.9,047  km N 82° E of Hinatuan (Surigao Del Sur),0
2023-12-09 03:19:00,8.53,126.82,1,3.2,057  km N 71° E of Hinatuan (Surigao Del Sur),0
2023-12-09 01:12:00,8.45,126.84,9,2.0,056  km N 81° E of Hinatuan (Surigao Del Sur),0
2023-12-09 00:49:00,8.54,126.74,29,2.4,049  km N 66° E of Hinatuan (Surigao Del Sur),0
2023-12-08 22:27:00,8.5,126.98,10,3.0,072  km N 79° E of Hinatuan (Surigao Del Sur),0
2023-12-08 20:56:00,8.48,126.73,1,3.0,045  km N 74° E of Hinatuan (Surigao Del Sur),0
2023-12-08 18:58:00,8.5,126.82,14,2.1,056  km N 74° E of Hinatuan (Surigao Del Sur),0
2023-12-08 18:12:00,8.39,126.91,3,2.5,063  km N 88° E of Hinatuan (Surigao Del Sur),0
2023-12-08 17:50:00,8.35,126.88,22,3.2,059  km S 89° E of Hinatuan (Surigao Del Sur),0
2023-12-08 15:42:00,8.44,126.7,8,2.1,041  km N 78° E of Hinatuan (Surigao Del Sur),0
2023-12-08 15:28:00,8.46,126.84,11,3.1,056  km N 79° E of Hinatuan (Surigao Del Sur),0
2023-12-08 11:06:00,8.35,126.76,11,2.2,046  km S 87° E of Hinatuan (Surigao Del Sur),0
2023-12-08 10:24:00,8.49,126.87,3,3.2,060  km N 77° E of Hinatuan (Surigao Del Sur),0
2023-12-08 08:56:00,8.45,126.63,11,3.1,034  km N 75° E of Hinatuan (Surigao Del Sur),0
2023-12-08 07:48:00,8.46,126.69,1,3.2,040  km N 75° E of Hinatuan (Surigao Del Sur),0
2023-12-08 07:44:00,8.4,126.89,1,3.0,061  km N 87° E of Hinatuan (Surigao Del Sur),0
2023-12-08 06:28:00,8.42,126.62,27,1.5,032  km N 79° E of Hinatuan (Surigao Del Sur),0
2023-12-08 05:50:00,8.33,126.77,22,1.9,048  km S 85° E of Hinatuan (Surigao Del Sur),0
2023-12-08 04:37:00,8.54,126.82,16,2.5,056  km N 70° E of Hinatuan (Surigao Del Sur),0
2023-12-08 04:31:00,8.53,126.81,5,2.4,055  km N 70° E of Hinatuan (Surigao Del Sur),0
2023-12-08 03:56:00,8.45,126.62,25,2.4,033  km N 73° E of Hinatuan (Surigao Del Sur),0
